Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
8/2/1976,3398,3401,3398,3401,,3401,2,1
8/3/1976,3401,3401,3401,3401,,3401,0,1
8/4/1976,3401,3401,3401,3401,,3401,0,1
8/5/1976,3401,3401,3401,3401,,3401,0,1
8/6/1976,3401,3401,3401,3401,,3401,0,1
8/9/1976,3401,3401,3401,3401,,3401,0,1
8/10/1976,3401,3401,3401,3401,,3401,0,1
8/11/1976,3401,3401,3401,3401,,3401,0,1
8/12/1976,3401,3401,3401,3401,,3401,0,1
8/13/1976,3401,3401,3401,3401,,3401,0,1
8/16/1976,3401,3401,3401,3401,,3401,0,1
8/17/1976,3461,3461,3461,3461,,3461,0,1
8/18/1976,3478,3478,3478,3478,,3478,5,6
8/19/1976,3472,3472,3472,3472,,3472,0,6
8/20/1976,3472,3472,3472,3472,,3472,0,6
8/23/1976,3465,3465,3454,3454,,3454,5,11
8/24/1976,3465,3465,3454,3454,,3454,0,11
8/25/1976,3465,3465,3454,3454,,3454,0,11
8/26/1976,3455,3455,3455,3455,,3455,0,11
8/27/1976,3470,3470,3468,3468,,3468,4,15
8/30/1976,3465,3465,3465,3465,,3465,1,16
8/31/1976,3462,3462,3462,3462,,3462,2,18
9/1/1976,3462,3462,3462,3462,,3462,0,18
9/2/1976,3462,3462,3462,3462,,3462,0,18
9/3/1976,3470,3470,3470,3470,,3470,0,18
9/7/1976,3475,3475,3473,3473,,3473,4,21
9/8/1976,3473,3473,3473,3473,,3473,2,23
9/9/1976,3473,3473,3473,3473,,3473,0,23
9/10/1976,3473,3473,3473,3473,,3473,0,23
9/13/1976,3473,3473,3473,3473,,3473,0,23
9/14/1976,3478,3478,3478,3478,,3478,0,23
9/15/1976,3480,3480,3480,3480,,3480,0,23
9/16/1976,3481,3481,3481,3481,,3481,0,23
9/17/1976,3481,3481,3481,3481,,3481,1,24
9/20/1976,3484,3484,3484,3484,,3484,3,27
9/21/1976,3478,3478,3473,3473,,3473,6,32
